external_gene_name,number_of_paralogues,paralogue
AC008878.3,9,Yes
AC008977.1,132,Yes
AC008982.1,6,Yes
AC009133.6,5,Yes
AC009163.4,2,Yes
AC009412.1,1,Yes
AC009690.1,2,Yes
AC009690.3,7,Yes
AC009779.3,1,Yes
AC009879.2,2,Yes
AC009879.3,2,Yes
AC010132.3,20,Yes
AC010197.2,6,Yes
AC010255.3,3,Yes
AC010319.2,1,Yes
AC010323.1,1,Yes
AC010327.1,35,Yes
AC010327.2,2,Yes
AC010330.1,1,Yes
AC010422.3,6,Yes
AC010422.5,6,Yes
AC010422.6,182,Yes
AC010422.8,1,Yes
AC010463.1,1,Yes
AC010522.1,56,Yes
AC010531.1,1,Yes
AC010547.4,68,Yes
AC010605.1,5,Yes
AC010615.4,39,Yes
AC010616.1,29,Yes
AC010616.2,22,Yes
AC010761.1,8,Yes
AC011005.1,9,Yes
AC011043.1,2,Yes
AC011043.2,2,Yes
AC011195.2,1,Yes
AC011448.1,2,Yes
AC011455.2,2,Yes
AC011462.1,3,Yes
AC011473.4,16,Yes
AC011479.1,1,Yes
AC011499.1,4,Yes
AC011511.1,2,Yes
AC011511.4,8,Yes
AC011530.1,14,Yes
AC011604.2,13,Yes
AC011841.1,2,Yes
AC012184.2,38,Yes
AC012213.5,51,Yes
AC012254.2,1,Yes
AC012309.1,182,Yes
AC012488.2,2,Yes
AC012531.3,43,Yes
AC012651.1,7,Yes
AC013271.1,5,Yes
AC013394.1,35,Yes
AC013489.1,1,Yes
AC013717.1,17,Yes
AC015813.2,9,Yes
AC016586.1,6,Yes
AC017083.3,9,Yes
AC018362.3,1,Yes
AC018523.2,20,Yes
AC018630.2,8,Yes
AC018709.1,33,Yes
AC018755.2,16,Yes
AC019117.3,2,Yes
AC019257.8,7,Yes
AC020613.1,1,Yes
AC020907.6,7,Yes
AC020909.1,8,Yes
AC020909.2,29,Yes
AC020915.5,182,Yes
AC020922.1,8,Yes
AC021087.5,1,Yes
AC021097.2,22,Yes
AC021660.3,1,Yes
AC022137.3,22,Yes
AC022335.1,13,Yes
AC022384.1,3,Yes
AC022400.7,11,Yes
AC022414.1,22,Yes
AC022415.2,22,Yes
AC022826.2,27,Yes
AC022966.1,72,Yes
AC023055.1,22,Yes
AC023490.4,1,Yes
AC023491.2,1,Yes
AC024592.3,1,Yes
AC025165.6,25,Yes
AC025263.2,2,Yes
AC025287.4,3,Yes
AC026316.4,24,Yes
AC026464.1,10,Yes
AC026464.3,2,Yes
AC026464.4,10,Yes
AC026464.6,2,Yes
AC026470.1,6,Yes
AC026740.3,18,Yes
AC026786.1,68,Yes
AC026954.2,4,Yes
AC027237.1,41,Yes
AC027644.4,7,Yes
AC027796.3,7,Yes
AC034102.1,71,Yes
AC034102.3,8,Yes
AC034228.4,13,Yes
AC036214.3,4,Yes
AC037459.1,1,Yes
AC048338.1,9,Yes
AC053503.7,5,Yes
AC055811.2,1,Yes
AC058822.1,54,Yes
AC067968.1,56,Yes
AC068234.1,9,Yes
AC068533.4,3,Yes
AC068547.1,4,Yes
AC068580.4,10,Yes
AC068631.2,12,Yes
AC068775.1,26,Yes
AC068831.7,9,Yes
AC068896.1,1,Yes
AC068946.2,2,Yes
AC069257.3,6,Yes
AC069288.1,3,Yes
AC069368.1,2,Yes
AC069444.2,1,Yes
AC069503.2,1,Yes
AC073082.1,3,Yes
AC073111.4,56,Yes
AC073508.2,69,Yes
AC073585.2,37,Yes
AC073610.2,32,Yes
AC073611.1,22,Yes
AC073612.1,8,Yes
AC073896.1,2,Yes
AC074143.1,1,Yes
AC074143.2,1,Yes
AC078927.1,6,Yes
AC079447.1,1,Yes
AC079594.2,2,Yes
AC080038.1,5,Yes
AC083800.1,2,Yes
AC084121.11,12,Yes
AC084121.12,12,Yes
AC084121.13,12,Yes
AC084121.5,12,Yes
AC084121.6,12,Yes
AC084121.7,12,Yes
AC084121.8,12,Yes
AC084121.9,12,Yes
AC084337.2,1,Yes
AC087289.1,84,Yes
AC087498.1,132,Yes
AC087498.2,132,Yes
AC087632.1,1,Yes
AC087651.1,3,Yes
AC087721.2,1,Yes
AC090004.1,1,Yes
AC090227.1,44,Yes
AC090517.4,29,Yes
AC090527.2,1,Yes
AC091021.1,2,Yes
AC091057.6,2,Yes
AC091167.2,14,Yes
AC091167.7,1,Yes
AC091959.3,2,Yes
AC092017.3,19,Yes
AC092042.3,3,Yes
AC092072.1,56,Yes
AC092073.1,3,Yes
AC092143.1,24,Yes
AC092161.1,22,Yes
AC092329.3,22,Yes
AC092338.1,1,Yes
AC092647.5,1,Yes
AC092718.3,2,Yes
AC092718.8,2,Yes
AC092835.1,182,Yes
AC092881.1,1,Yes
AC093155.3,2,Yes
AC093227.2,182,Yes
AC093323.1,2,Yes
AC093503.1,10,Yes
AC093512.2,3,Yes
AC093525.1,1,Yes
AC093525.2,1,Yes
AC093668.1,11,Yes
AC093668.2,4,Yes
AC093827.5,1,Yes
AC093884.1,11,Yes
AC093899.2,1,Yes
AC096887.1,1,Yes
AC097625.2,1,Yes
AC097634.4,43,Yes
AC097636.2,5,Yes
AC097637.1,26,Yes
AC098582.1,25,Yes
AC098588.1,1,Yes
AC098650.1,2,Yes
AC098850.3,2,Yes
AC099811.2,71,Yes
AC099850.2,1,Yes
AC100868.1,9,Yes
AC104389.4,84,Yes
AC104389.5,12,Yes
AC104452.1,1,Yes
AC104472.3,2,Yes
AC105052.1,4,Yes
AC105052.3,4,Yes
AC106741.1,37,Yes
AC106774.4,20,Yes
AC106886.5,35,Yes
AC108488.2,1,Yes
AC108941.2,13,Yes
AC112128.1,1,Yes
AC112229.3,5,Yes
AC113348.2,182,Yes
AC113554.1,2,Yes
AC114267.1,93,Yes
AC114490.2,19,Yes
AC115220.1,182,Yes
AC116366.3,1,Yes
AC117378.1,1,Yes
AC117457.1,4,Yes
AC118553.2,8,Yes
AC118754.1,2,Yes
AC119396.1,1,Yes
AC119674.2,10,Yes
AC124312.1,1,Yes
AC126283.2,17,Yes
AC127029.3,6,Yes
AC129492.1,2,Yes
AC129492.4,11,Yes
AC131160.1,6,Yes
AC133551.1,7,Yes
AC134669.1,1,Yes
AC134684.11,12,Yes
AC134684.8,12,Yes
AC134684.9,12,Yes
AC134980.3,132,Yes
AC135050.2,2,Yes
AC135068.1,132,Yes
AC135068.3,132,Yes
AC135178.2,2,Yes
AC136352.2,16,Yes
AC136352.3,15,Yes
AC136428.1,83,Yes
AC136612.1,7,Yes
AC136616.1,19,Yes
AC136616.2,83,Yes
AC136616.3,83,Yes
AC137834.1,3,Yes
AC138696.1,22,Yes
AC138811.2,1,Yes
AC138894.1,1,Yes
AC138969.1,19,Yes
AC139491.7,2,Yes
AC139530.1,1,Yes
AC139530.3,51,Yes
AC139768.1,17,Yes
AC140504.1,4,Yes
AC141272.1,83,Yes
AC142391.1,1,Yes
AC144573.1,19,Yes
AC171558.1,132,Yes
AC171558.3,132,Yes
AC187653.1,43,Yes
AC211486.6,14,Yes
AC211486.7,14,Yes
AC211486.8,14,Yes
AC231657.3,4,Yes
AC233755.1,83,Yes
AC233755.2,83,Yes
AC235565.2,4,Yes
AC236972.4,2,Yes
AC239811.1,7,Yes
AC240274.1,14,Yes
AC242842.3,14,Yes
AC242843.1,7,Yes
AC243967.1,25,Yes
AC244197.3,17,Yes
AC245033.1,4,Yes
AC245748.1,182,Yes
AC253536.7,3,Yes
AC253572.1,7,Yes
ACAA1,4,Yes
ACAA2,4,Yes
ACACA,4,Yes
ACACB,4,Yes
ACAD10,14,Yes
ACAD11,14,Yes
ACAD8,14,Yes
ACAD9,14,Yes
ACADL,14,Yes
ACADM,14,Yes
ACADS,14,Yes
ACADSB,14,Yes
ACADVL,14,Yes
ACAN,7,Yes
ACAP1,28,Yes
ACAP2,28,Yes
ACAP3,28,Yes
ACAT1,4,Yes
ACAT2,4,Yes
ACBD3,1,Yes
ACBD4,4,Yes
ACBD5,4,Yes
ACBD7,4,Yes
ACCS,8,Yes
ACCSL,8,Yes
ACE,2,Yes
ACE2,2,Yes
ACER1,2,Yes
ACER2,2,Yes
ACER3,2,Yes
ACHE,13,Yes
ACKR2,23,Yes
ACKR3,23,Yes
ACKR4,23,Yes
ACO1,2,Yes
ACO2,2,Yes
ACOT1,4,Yes
ACOT11,2,Yes
ACOT12,2,Yes
ACOT2,4,Yes
ACOT4,4,Yes
ACOT6,4,Yes
ACOT7,2,Yes
ACOX1,14,Yes
ACOX2,14,Yes
ACOX3,14,Yes
ACOXL,14,Yes
ACP1,1,Yes
ACP2,5,Yes
ACP4,5,Yes
ACP6,5,Yes
ACPP,5,Yes
ACRV1,4,Yes
ACSBG1,13,Yes
ACSBG2,13,Yes
ACSF2,13,Yes
ACSF3,13,Yes
ACSL1,13,Yes
ACSL3,13,Yes
ACSL4,13,Yes
ACSL5,13,Yes
ACSL6,13,Yes
ACSM1,13,Yes
ACSM2A,13,Yes
ACSM2B,13,Yes
ACSM3,13,Yes
ACSM4,13,Yes
ACSM5,13,Yes
ACSM6,13,Yes
ACSS1,13,Yes
ACSS2,13,Yes
ACSS3,13,Yes
ACTA1,26,Yes
ACTA2,26,Yes
ACTB,26,Yes
ACTBL2,26,Yes
ACTC1,26,Yes
ACTG1,26,Yes
ACTG2,26,Yes
ACTL10,26,Yes
ACTL6A,26,Yes
ACTL6B,26,Yes
ACTL7A,26,Yes
ACTL7B,26,Yes
ACTL8,26,Yes
ACTL9,26,Yes
ACTN1,36,Yes
ACTN2,36,Yes
ACTN3,36,Yes
ACTN4,36,Yes
ACTR10,26,Yes
ACTR1A,26,Yes
ACTR1B,26,Yes
ACTR2,26,Yes
ACTR3,26,Yes
ACTR3B,26,Yes
ACTR3C,26,Yes
ACTR5,26,Yes
ACTR6,26,Yes
ACTR8,26,Yes
ACTRT1,26,Yes
ACTRT2,26,Yes
ACTRT3,26,Yes
ACVR1,11,Yes
ACVR1B,11,Yes
ACVR1C,11,Yes
ACVR2A,11,Yes
ACVR2B,11,Yes
ACVRL1,11,Yes
ACY1,4,Yes
ACY3,1,Yes
ACYP1,1,Yes
ACYP2,1,Yes
AD000671.1,1,Yes
AD000671.2,4,Yes
ADA,2,Yes
ADA2,2,Yes
ADAD1,14,Yes
ADAD2,14,Yes
ADAL,2,Yes
ADAM10,20,Yes
ADAM11,20,Yes
ADAM12,20,Yes
ADAM15,20,Yes
ADAM17,20,Yes
ADAM18,20,Yes
ADAM19,20,Yes
ADAM2,20,Yes
ADAM20,20,Yes
ADAM21,20,Yes
ADAM22,20,Yes
ADAM23,20,Yes
ADAM28,20,Yes
ADAM29,20,Yes
ADAM30,20,Yes
ADAM32,20,Yes
ADAM33,20,Yes
ADAM7,20,Yes
ADAM8,20,Yes
ADAM9,20,Yes
ADAMDEC1,20,Yes
ADAMTS1,25,Yes
ADAMTS10,25,Yes
ADAMTS12,25,Yes
ADAMTS13,25,Yes
ADAMTS14,25,Yes
ADAMTS15,25,Yes
ADAMTS16,25,Yes
ADAMTS17,25,Yes
ADAMTS18,25,Yes
ADAMTS19,25,Yes
ADAMTS2,25,Yes
ADAMTS20,25,Yes
ADAMTS3,25,Yes
ADAMTS4,25,Yes
ADAMTS5,25,Yes
ADAMTS6,25,Yes
ADAMTS7,25,Yes
ADAMTS8,25,Yes
ADAMTS9,25,Yes
ADAMTSL1,25,Yes
ADAMTSL2,25,Yes
ADAMTSL3,25,Yes
ADAMTSL4,25,Yes
ADAMTSL5,25,Yes
ADAP1,28,Yes
ADAP2,28,Yes
ADAR,14,Yes
ADARB1,14,Yes
ADARB2,14,Yes
ADAT1,14,Yes
ADAT2,1,Yes
ADAT3,1,Yes
ADCK1,4,Yes
ADCK2,4,Yes
ADCK5,4,Yes
ADCY1,17,Yes
ADCY2,17,Yes
ADCY3,17,Yes
ADCY4,17,Yes
ADCY5,17,Yes
ADCY6,17,Yes
ADCY7,17,Yes
ADCY8,17,Yes
ADCY9,17,Yes
ADCYAP1,2,Yes
ADCYAP1R1,44,Yes
ADD1,2,Yes
ADD2,2,Yes
ADD3,2,Yes
ADGB,20,Yes
ADGRA1,44,Yes
ADGRA2,44,Yes
ADGRA3,44,Yes
ADGRB1,44,Yes
ADGRB2,44,Yes
ADGRB3,44,Yes
ADGRD1,44,Yes
ADGRD2,44,Yes
ADGRE1,44,Yes
ADGRE2,44,Yes
ADGRE3,44,Yes
ADGRE5,44,Yes
ADGRF1,44,Yes
ADGRF2,44,Yes
ADGRF3,44,Yes
ADGRF4,44,Yes
ADGRF5,44,Yes
ADGRG1,44,Yes
ADGRG2,44,Yes
ADGRG3,44,Yes
ADGRG4,44,Yes
ADGRG5,44,Yes
ADGRG6,44,Yes
ADGRG7,44,Yes
ADGRL1,44,Yes
ADGRL2,44,Yes
ADGRL3,44,Yes
ADGRL4,44,Yes
ADGRV1,7,Yes
ADH1A,18,Yes
ADH1B,18,Yes
ADH1C,18,Yes
ADH4,18,Yes
ADH5,18,Yes
ADH6,18,Yes
ADH7,18,Yes
ADHFE1,2,Yes
ADIPOQ,24,Yes
ADIPOR1,10,Yes
ADIPOR2,10,Yes
ADK,4,Yes
ADM,1,Yes
ADM2,1,Yes
ADNP,1,Yes
ADNP2,1,Yes
ADORA1,3,Yes
ADORA2A,3,Yes
ADORA2B,3,Yes
ADORA3,3,Yes
ADPRH,1,Yes
ADPRHL1,1,Yes
ADRA1A,19,Yes
ADRA1B,19,Yes
ADRA1D,19,Yes
ADRA2A,19,Yes
ADRA2B,19,Yes
ADRA2C,19,Yes
ADRB1,19,Yes
ADRB2,19,Yes
ADRB3,19,Yes
ADSL,3,Yes
ADSS,1,Yes
ADSSL1,1,Yes
ADTRP,1,Yes
AEBP1,7,Yes
AEBP2,14,Yes
AEN,5,Yes
AF196969.1,2,Yes
AF241726.2,33,Yes
AFAP1,2,Yes
AFAP1L1,2,Yes
AFAP1L2,2,Yes
AFF1,3,Yes
AFF2,3,Yes
AFF3,3,Yes
AFF4,3,Yes
AFG3L2,2,Yes
AFM,3,Yes
AFMID,5,Yes
AFP,3,Yes
AFTPH,1,Yes
AGA,2,Yes
AGAP1,28,Yes
AGAP2,28,Yes
AGAP3,28,Yes
AGAP4,28,Yes
AGAP5,28,Yes
AGAP6,28,Yes
AGAP9,28,Yes
AGBL1,5,Yes
AGBL2,5,Yes
AGBL3,5,Yes
AGBL4,5,Yes
AGBL5,5,Yes
AGER,3,Yes
AGFG1,28,Yes
AGFG2,28,Yes
AGGF1,1,Yes
AGK,4,Yes
AGMAT,2,Yes
AGO1,3,Yes
AGO2,3,Yes
AGO3,3,Yes
AGO4,3,Yes
AGPAT1,1,Yes
AGPAT2,1,Yes
AGPAT3,4,Yes
AGPAT4,4,Yes
AGPAT5,4,Yes
AGPS,2,Yes
AGR2,2,Yes
AGR3,2,Yes
AGRN,28,Yes
AGRP,1,Yes
AGT,36,Yes
AGTPBP1,5,Yes
AGTR1,7,Yes
AGTR2,7,Yes
AGXT,1,Yes
AGXT2,4,Yes
AHCY,2,Yes
AHCYL1,2,Yes
AHCYL2,2,Yes
AHI1,27,Yes
AHNAK,2,Yes
AHNAK2,2,Yes
AHR,2,Yes
AHRR,3,Yes
AHSG,3,Yes
AICDA,10,Yes
AIF1,1,Yes
AIF1L,1,Yes
AIFM1,7,Yes
AIFM3,7,Yes
AIG1,1,Yes
AIM2,3,Yes
AIP,1,Yes
AIPL1,1,Yes
AIRE,5,Yes
AJUBA,2,Yes
AK1,8,Yes
AK2,8,Yes
AK3,8,Yes
AK4,8,Yes
AK5,8,Yes
AK7,8,Yes
AK8,8,Yes
AK9,8,Yes
AKAIN1,1,Yes
AKAP11,3,Yes
AKAP13,1,Yes
AKAP2,5,Yes
AKAP3,3,Yes
AKAP4,3,Yes
AKAP6,1,Yes
AKAP7,1,Yes
AKAP8,2,Yes
AKAP8L,2,Yes
AKAP9,1,Yes
AKIRIN1,1,Yes
AKIRIN2,1,Yes
AKNA,1,Yes
AKNAD1,1,Yes
AKR1A1,16,Yes
AKR1B1,16,Yes
AKR1B10,16,Yes
AKR1B15,16,Yes
AKR1C1,16,Yes
AKR1C2,16,Yes
AKR1C3,16,Yes
AKR1C4,16,Yes
AKR1C8P,16,Yes
AKR1D1,16,Yes
AKR1E2,16,Yes
AKR7A2,16,Yes
AKR7A3,16,Yes
AKT1,5,Yes
AKT2,5,Yes
AKT3,5,Yes
AKTIP,27,Yes
AL020996.2,5,Yes
AL021546.1,1,Yes
AL022238.4,2,Yes
AL022318.4,10,Yes
AL031315.1,27,Yes
AL031681.2,20,Yes
AL031708.1,1,Yes
AL031777.3,27,Yes
AL031847.2,2,Yes
AL033529.1,6,Yes
AL035078.4,5,Yes
AL035460.1,1,Yes
AL035461.3,9,Yes
AL049629.2,4,Yes
AL049634.2,5,Yes
AL049650.1,68,Yes
AL049697.1,1,Yes
AL049779.1,26,Yes
AL049844.3,1,Yes
AL096711.2,3,Yes
AL096814.2,15,Yes
AL109827.1,2,Yes
AL110118.2,1,Yes
AL117339.5,182,Yes
AL117348.2,4,Yes
AL121578.2,27,Yes
AL121594.1,1,Yes
AL121753.1,1,Yes
AL121768.1,9,Yes
AL121845.2,4,Yes
AL121845.3,4,Yes
AL121899.2,9,Yes
AL121900.2,2,Yes
AL132671.2,1,Yes
AL132780.3,1,Yes
AL133352.1,1,Yes
AL133353.2,1,Yes
AL133500.1,11,Yes
AL136295.1,5,Yes
AL136295.3,1,Yes
AL136295.4,5,Yes
AL136295.5,1,Yes
AL136454.1,11,Yes
AL138752.2,4,Yes
AL139011.2,1,Yes
AL139142.2,3,Yes
AL139260.3,1,Yes
AL139300.1,7,Yes
AL157392.5,1,Yes
AL157935.2,15,Yes
AL159163.1,1,Yes
AL160269.1,11,Yes
AL162171.1,35,Yes
AL162231.3,25,Yes
AL162417.1,26,Yes
AL353579.1,1,Yes
AL353588.1,2,Yes
AL355312.6,23,Yes
AL355315.1,2,Yes
AL355916.3,10,Yes
AL355987.1,14,Yes
AL357673.1,6,Yes
AL358075.4,4,Yes
AL358113.1,4,Yes
AL358472.6,71,Yes
AL358472.7,1,Yes
AL359736.1,25,Yes
AL359922.1,2,Yes
AL360181.3,8,Yes
AL365205.1,8,Yes
AL365214.3,13,Yes
AL365232.1,3,Yes
AL391987.1,1,Yes
AL391987.2,1,Yes
AL441992.2,8,Yes
AL445238.1,1,Yes
AL445423.2,3,Yes
AL445524.2,3,Yes
AL445685.3,1,Yes
AL451062.3,11,Yes
AL512310.1,132,Yes
AL512428.1,3,Yes
AL512506.3,1,Yes
AL583836.1,17,Yes
AL590132.1,19,Yes
AL590764.2,25,Yes
AL592183.1,1,Yes
AL592490.1,34,Yes
AL603832.3,23,Yes
AL627230.1,1,Yes
AL627230.3,1,Yes
AL645922.1,40,Yes
AL645941.2,14,Yes
AL662820.1,1,Yes
AL662899.1,1,Yes
AL662899.2,1,Yes
AL669918.1,11,Yes
AL672142.1,1,Yes
AL691442.1,8,Yes
AL772284.2,13,Yes
AL807752.7,14,Yes
AL845331.2,12,Yes
AL928654.3,21,Yes
ALAS1,5,Yes
ALAS2,5,Yes
ALB,3,Yes
ALCAM,3,Yes
ALDH16A1,18,Yes
ALDH1A1,18,Yes
ALDH1A2,18,Yes
ALDH1A3,18,Yes
ALDH1B1,18,Yes
ALDH1L1,18,Yes
ALDH1L2,18,Yes
ALDH2,18,Yes
ALDH3A1,18,Yes
ALDH3A2,18,Yes
ALDH3B1,18,Yes
ALDH3B2,18,Yes
ALDH4A1,18,Yes
ALDH5A1,18,Yes
ALDH6A1,18,Yes
ALDH7A1,18,Yes
ALDH8A1,18,Yes
ALDH9A1,18,Yes
ALDOA,3,Yes
ALDOB,3,Yes
ALDOC,3,Yes
ALG1,2,Yes
ALG10,1,Yes
ALG10B,1,Yes
ALG11,3,Yes
ALG12,3,Yes
ALG1L,2,Yes
ALG1L2,2,Yes
ALG2,3,Yes
ALG5,1,Yes
ALG6,1,Yes
ALG8,1,Yes
ALG9,3,Yes
ALK,54,Yes
ALKBH6,2,Yes
ALKBH8,2,Yes
ALMS1,3,Yes
ALOX12,5,Yes
ALOX12B,5,Yes
ALOX15,5,Yes
ALOX15B,5,Yes
ALOX5,5,Yes
ALOX5AP,3,Yes
ALOXE3,5,Yes
ALPG,3,Yes
ALPI,3,Yes
ALPK1,4,Yes
ALPK2,4,Yes
ALPK3,9,Yes
ALPL,3,Yes
ALPP,3,Yes
ALS2,9,Yes
ALS2CL,7,Yes
ALX1,50,Yes
ALX3,50,Yes
ALX4,50,Yes
ALYREF,2,Yes
AMACR,1,Yes
AMBP,14,Yes
AMDHD2,1,Yes
AMELX,1,Yes
AMELY,1,Yes
AMER1,2,Yes
AMER2,2,Yes
AMER3,2,Yes
AMFR,4,Yes
AMHR2,11,Yes
AMIGO1,2,Yes
AMIGO2,2,Yes
AMIGO3,2,Yes
AMMECR1,1,Yes
AMMECR1L,1,Yes
AMOT,2,Yes
AMOTL1,2,Yes
AMOTL2,2,Yes
AMPD1,2,Yes
AMPD2,2,Yes
AMPD3,2,Yes
AMPH,3,Yes
AMT,10,Yes
AMY1A,7,Yes
AMY1B,7,Yes
AMY1C,7,Yes
AMY2A,7,Yes
AMY2B,7,Yes
AMZ1,1,Yes
AMZ2,1,Yes
ANAPC10,1,Yes
ANAPC2,7,Yes
ANAPC7,3,Yes
ANG,12,Yes
ANGEL1,5,Yes
ANGEL2,5,Yes
ANGPT1,25,Yes
ANGPT2,25,Yes
ANGPT4,25,Yes
ANGPTL1,25,Yes
ANGPTL2,25,Yes
ANGPTL3,25,Yes
ANGPTL4,25,Yes
ANGPTL5,25,Yes
ANGPTL6,25,Yes
ANGPTL7,25,Yes
ANHX,6,Yes
ANK1,3,Yes
ANK2,3,Yes
ANK3,3,Yes
ANKAR,4,Yes
ANKDD1A,1,Yes
ANKDD1B,1,Yes
ANKHD1,2,Yes
ANKHD1-EIF4EBP3,2,Yes
ANKIB1,9,Yes
ANKK1,1,Yes
ANKLE1,2,Yes
ANKRA2,3,Yes
ANKRD1,1,Yes
ANKRD10,2,Yes
ANKRD13A,3,Yes
ANKRD13B,3,Yes
ANKRD13C,3,Yes
ANKRD13D,3,Yes
ANKRD16,1,Yes
ANKRD17,2,Yes
ANKRD18A,11,Yes
ANKRD18B,11,Yes
ANKRD2,1,Yes
ANKRD20A1,11,Yes
ANKRD20A2,11,Yes
ANKRD20A3,11,Yes
ANKRD20A4,11,Yes
ANKRD22,4,Yes
ANKRD24,2,Yes
ANKRD26,11,Yes
ANKRD28,3,Yes
ANKRD29,1,Yes
ANKRD30A,11,Yes
ANKRD30B,11,Yes
ANKRD30BL,11,Yes
ANKRD31,3,Yes
ANKRD33,4,Yes
ANKRD33B,4,Yes
ANKRD34A,1,Yes
ANKRD34B,1,Yes
ANKRD34C,1,Yes
ANKRD35,2,Yes
ANKRD36,3,Yes
ANKRD36B,3,Yes
ANKRD36C,3,Yes
ANKRD37,1,Yes
ANKRD39,2,Yes
ANKRD40,1,Yes
ANKRD40CL,1,Yes
ANKRD42,1,Yes
ANKRD44,3,Yes
ANKRD45,3,Yes
ANKRD52,3,Yes
ANKRD54,1,Yes
ANKRD55,3,Yes
ANKRD6,2,Yes
ANKRD61,1,Yes
ANKRD62,11,Yes
ANKRD63,4,Yes
